URL,Query,Site is published,Дата запуска,Anchor,Acceptor,Проставлена,Дата простановки,Сайт в индексе,Цитата в индексе,Blacklist,Error Log,Host,Server,Country,Lang,Status generator,Status Add-link,Коммент по доработке,Last_Check_Date,Last_Quote_Check_Date
юргадоктор.рф,мобильное приложение 1хБет,TRUE,26/11/2025 14:07,1хБет скачать приложение,https://www.polisaevo.ru/,TRUE,28/11/2025 17:22,Да | 03.03.2026,Да | 04.03.2026,,,юргадоктор.рф,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
svarkametallov.ru,войти в 1хБет,TRUE,26/11/2025 16:14,1хБет вход,https://www.polisaevo.ru/,TRUE,28/11/2025 17:40,Да | 04.03.2026,Нет | 04.03.2026,,,svarkametallov.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
www.evrostroy-sochi.ru,сайт букмекера 1xBet,TRUE,26/11/2025 17:54,1xBet официальный сайт,https://www.polisaevo.ru/,TRUE,28/11/2025 18:00,Да | 04.03.2026,Да | 04.03.2026,,,evrostroy-sochi.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
ensidia.ru,1хбет мобильная версия,TRUE,9/2/2026 9:53,1XBET мобильная версия,https://www.polisaevo.ru/,TRUE,9/2/2026 10:00,Да | 04.03.2026,Да | 04.03.2026,,,ensidia.ru,seotech-web-media1,ru,ru,complited,complited,перегенерить на 1хбет контент,04.03.2026,04.03.2026
odenempiter.ru,рабочее зеркало 1xBet,TRUE,26/11/2025 18:13,1хБет зеркало ,https://www.polisaevo.ru/,TRUE,28/11/2025 18:40,Да | 04.03.2026,Да | 04.03.2026,,,odenempiter.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
gbuggt.ru,1хБет Россия,TRUE,26/11/2025 18:32,1xBet Россия,https://www.polisaevo.ru/,TRUE,28/11/2025 19:00,Да | 04.03.2026,Да | 04.03.2026,,,gbuggt.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
gorlanova-event.ru,как вывести деньги с 1хБет,TRUE,28/1/2026 12:51,1хБет вывод денег,https://www.polisaevo.ru/,TRUE,28/1/2026 13:20,Да | 04.03.2026,Да | 04.03.2026,,,gorlanova-event.ru,seotech-web-media1,ru,ru,complited,complited,добавил h1,04.03.2026,04.03.2026
oknaryadom.ru,честный обзор 1xBet,TRUE,26/11/2025 19:12,1xBet обзор,https://www.polisaevo.ru/,TRUE,28/11/2025 19:40,Да | 04.03.2026,Да | 04.03.2026,,,oknaryadom.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
artswonder.ru,официальный сайт 1xBet,TRUE,28/11/2025 14:48,1xBet официальный сайт,https://www.polisaevo.ru/,TRUE,28/11/2025 20:00,Да | 04.03.2026,Да | 04.03.2026,,,artswonder.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
ambkr.ru,букмекерская контора 1хБет,TRUE,28/11/2025 14:53,букмекерская контора 1хБет,https://www.polisaevo.ru/,TRUE,28/11/2025 20:20,Да | 04.03.2026,Да | 04.03.2026,,,ambkr.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
orlikovplaza.ru,регистрация в 1хБет,TRUE,28/11/2025 16:54,1хБет регистрация,https://www.polisaevo.ru/,TRUE,28/11/2025 20:40,Да | 04.03.2026,Да | 04.03.2026,,,orlikovplaza.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
derevenskie-specialicti.ru,1хБет скачать бесплатно,TRUE,28/11/2025 16:14,1хБет скачать,https://www.polisaevo.ru/,TRUE,28/11/2025 21:00,Да | 04.03.2026,Да | 04.03.2026,,,derevenskie-specialicti.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
21power.ru,казино 1хБет играть онлайн,TRUE,03/12/2025 15:53,1xBet казино,https://www.polisaevo.ru/,TRUE,04/12/2025 11:00,Да | 04.03.2026,Да | 04.03.2026,,,21power.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
turin-restoran.ru,1хБет мобильная версия,TRUE,03/12/2025 16:13,1хБет мобильная версия,https://www.polisaevo.ru/,TRUE,04/12/2025 11:20,Да | 04.03.2026,Да | 04.03.2026,,,turin-restoran.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
rodina-nnov.ru,1xBet зеркало рабочее на сегодня,TRUE,28/01/2026 13:11,1xBet зеркало,https://www.polisaevo.ru/,TRUE,28/01/2026 13:40,Да | 04.03.2026,Да | 04.03.2026,,,rodina-nnov.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
radaklub.ru,1хБет ставки на спорт,TRUE,03/12/2025 17:53,1хБет ставки на спорт,https://www.polisaevo.ru/,TRUE,04/12/2025 12:00,Да | 04.03.2026,Да | 04.03.2026,,,radaklub.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
azbuka-sna.ru,1xBet регистрация с бонусом,TRUE,03/12/2025 17:13,1xBet регистрация,https://www.polisaevo.ru/,TRUE,04/12/2025 12:20,Да | 04.03.2026,Да | 04.03.2026,,,azbuka-sna.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
edutarget.ru,1xBet официальный сайт вход,TRUE,03/12/2025 17:33,1xBet официальный сайт,https://www.polisaevo.ru/,TRUE,04/12/2025 12:40,Да | 04.03.2026,Да | 04.03.2026,,,edutarget.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
givizaaltaya.ru,личный кабинет 1хбет,TRUE,09/02/2026 10:14,1xBet вход,https://www.polisaevo.ru/,TRUE,09/02/2026 10:20,Да | 04.03.2026,Нет | 04.03.2026,,,givizaaltaya.ru,seotech-web-media1,ru,ru,complited,complited,перегенерить на 1хбет контент,04.03.2026,04.03.2026
stroikadry.ru,как зарегистрироваться в 1xBet,TRUE,03/12/2025 18:35,1xBet регистрация,https://www.polisaevo.ru/,TRUE,04/12/2025 13:20,Да | 04.03.2026,Да | 04.03.2026,,,stroikadry.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
elkimarket71.ru,1хбет честные отзывы,TRUE,09/02/2026 11:12,1хбет отзывы,https://kanschool13.ru/,TRUE,9/2/2026 11:20,Да | 04.03.2026,Да | 04.03.2026,,,elkimarket71.ru,seotech-web-media1,ru,ru,complited,complited,перегенерить на 1хбет контент,04.03.2026,04.03.2026
dtyuldash.ru,1xBet Россия,TRUE,09/12/2025 13:33,1xBet Россия,https://kanschool13.ru/,TRUE,12/12/2025 17:00,Да | 04.03.2026,Да | 04.03.2026,,,dtyuldash.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
библиотека-рыбинск.рф ,заблокировали 1xBet,TRUE,09/12/2025 13:12,зеркало 1xBet,https://kanschool13.ru/,TRUE,12/12/2025 17:20,Да | 04.03.2026,Да | 04.03.2026,,,библиотека-рыбинск.рф,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
kaur2010.ru,1xBet минимальный вывод,TRUE,09/12/2025 13:53,вывод средств 1xBet,https://kanschool13.ru/,TRUE,12/12/2025 17:40,Да | 04.03.2026,Да | 04.03.2026,,,kaur2010.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
burnus.ru,рабочее зеркало 1xBet,TRUE,22/12/2025 12:50,рабочее зеркало 1xBet,https://окмо.рф,TRUE,22/12/2025 15:00,Да | 04.03.2026,Да | 04.03.2026,,,burnus.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
school1pvk.ru,1хБет россия,TRUE,28/1/2026 15:33,1хБет россия,https://окмо.рф,TRUE,28/1/2026 16:40,Да | 04.03.2026,Да | 04.03.2026,,,school1pvk.ru,seotech-web-media1,ru,ru,complited,complited,добавил h1,04.03.2026,04.03.2026
домапермь.рф,1xBet обзор,TRUE,9/2/2026 12:16,1хбет обзор,https://окмо.рф,TRUE,9/2/2026 14:40,Да | 04.03.2026,Да | 04.03.2026,,Stream yields empty buffer | Edit Image,домапермь.рф,seotech-web-media1,ru,ru,complited,complited,перегенерить на 1хбет контент,04.03.2026,04.03.2026
akpp44.ru,вход на сайт 1хбет,TRUE,9/2/2026 12:32,1хбет вход,https://окмо.рф,TRUE,9/2/2026 15:00,Да | 04.03.2026,Да | 04.03.2026,,,akpp44.ru,seotech-web-media1,ru,ru,complited,complited,перегенерить на 1хбет контент,04.03.2026,04.03.2026
скважина61.рф,бонус за регистрацию 1xBet,TRUE,22/12/2025 14:15,бонус 1xBet,https://окмо.рф,TRUE,22/12/2025 16:20,Да | 04.03.2026,Да | 04.03.2026,,,скважина61.рф,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
dialog-c.ru,1хБет вывод средств,TRUE,22/12/2025 14:33,1хБет вывод средств,https://окмо.рф,TRUE,22/12/2025 16:40,Да | 04.03.2026,Нет | 04.03.2026,,,dialog-c.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
autogornostay.ru,регистрация в 1хБет,TRUE,22/12/2025 15:15,1хБет регистрация,https://окмо.рф,TRUE,22/12/2025 17:00,Да | 04.03.2026,Да | 04.03.2026,,,autogornostay.ru,seotech-web-media1,ru,ru,complited,complited,поправил год,04.03.2026,04.03.2026
,,FALSE,,,,FALSE,,Нет данных,Нет данных,,,,,ru,ru,waiting,waiting,,,
,,FALSE,,,,FALSE,,Нет данных,Нет данных,,,,,ru,ru,waiting,waiting,,,
,,FALSE,,,,FALSE,,Нет данных,Нет данных,,,,,ru,ru,waiting,waiting,,,
,,FALSE,,,,FALSE,,Нет данных,Нет данных,,,,,ru,ru,waiting,waiting,,,
